filename,x,y
0171_11_08_1332-01.jpg,10.240508,2.403741
0172_11_11_1346-01.jpg,6.750750,3.331799
0173_11_12_1355-01.jpg,5.737360,2.636607
0174_12_02_1320-01.jpg,13.192141,1.446280
0175_12_03_1307-01.jpg,11.711189,5.474720
0176_12_03_1343-01.jpg,8.121517,-3.935875
0177_12_06_1346-01.jpg,10.001347,2.889831
0178_12_06_1346-02.jpg,9.959271,2.790179
0179_12_07_1334-01.jpg,15.342593,3.233676
0180_12_07_1353-01.jpg,7.096871,7.340693
0181_12_09_1351-01.jpg,7.008395,7.444634
0182_12_10_1310-01.jpg,10.983034,5.540677
0183_12_12_1343-01.jpg,7.908660,-4.111239
0184_13_01_1344-01.jpg,5.995167,9.045093
0185_13_01_1347-01.jpg,-4.870420,8.906554
0186_13_03_1342-01.jpg,15.144126,5.991365
0187_13_03_1344-01.jpg,6.203096,3.938588
0188_13_05_1348-01.jpg,5.941579,4.295178
0189_13_05_1353-01.jpg,5.923440,5.319381
0190_13_06_1334-01.jpg,8.534664,8.144439
0191_13_07_1324-01.jpg,13.688305,1.650417
0192_13_07_1330-01.jpg,13.163825,3.456649
0193_13_08_1306-01.jpg,11.829221,5.235383
0195_13_08_1352-01.jpg,6.879259,7.340713
0196_13_10_1332-01.jpg,13.545442,3.707849
0197_13_10_1337-01.jpg,15.718956,3.922125
0198_13_11_1340-01.jpg,15.393030,5.683599
0199_13_11_1342-01.jpg,15.218959,6.071696
0200_13_12_1335-01.jpg,14.955877,3.815079
0201_13_12_1349-01.jpg,5.441123,6.708465
0202_14_01_1326-01.jpg,10.486175,4.956323
0203_14_02_1333-01.jpg,8.889385,8.173099
0204_14_02_1343-01.jpg,15.204677,6.162093
0205_14_02_1344-01.jpg,15.627825,6.142252
0206_14_02_1352-01.jpg,7.224127,7.157263
0207_14_03_1346-01.jpg,7.178945,7.641297
0208_14_03_1347-01.jpg,7.880643,-4.204414
0209_14_04_1331-01.jpg,14.467948,2.003114
0210_14_04_1349-01.jpg,-4.965822,8.787805
0211_14_06_1307-01.jpg,11.790910,4.916758
0212_14_06_1342-01.jpg,8.124631,-3.930519
0213_14_06_1347-01.jpg,-4.799855,8.738104
